,,cargo- semantic ambuigity,,,,
,,,,,,
,Class,Service A,Service B,Decision,Reason,Model
0,VoyageRepositoryInMem,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","GraphDAO, BookingService, DDDSampleApplicationContext, CargoRepository, RoutingStatus",B,Inferred from raw text output due to JSON parsing failure.,llama2
1,LocationRepositoryInMem,"GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, Itinerary, RouteSpecification","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,"it belongs to the domain of the PathfinderApplicationContext, which is a part of Service B",llama2
2,CargoRepositoryInMem,"TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, Delivery, HandlingActivity","GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, Itinerary, RouteSpecification",B,Inferred from raw text output due to JSON parsing failure.,llama2
3,CustomerPage,"GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, Itinerary, RouteSpecification","GraphDAO, BookingService, DDDSampleApplicationContext, CargoRepository, RoutingStatus",B,it belongs to Service B as it interacts with Cargo and Voyage entities,llama2
4,SynchronousApplicationEventsStub,"GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, Itinerary, RouteSpecification","TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, Delivery, HandlingActivity",B,Inferred from raw text output due to JSON parsing failure.,llama2
5,CargoRoutingPage,"TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, DateUtils, Cargo","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,it belongs to Service B as it is related to cargo inspection and is not handled by Service A,llama2
6,AlwaysFalseSpec,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","CargoFactory, UnknownCargoException, LocationRepository, UnLocode, DomainEvent",B,AlwaysFalseSpec belongs to Service B as it is related to the Cargo domain and not handled by Service A,llama2
7,TrackCommand,"GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, HandlingEventRepository, RoutingService","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,Inferred from raw text output due to JSON parsing failure.,llama2
8,CargoTrackingRestService,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","CargoFactory, UnknownCargoException, LocationRepository, UnLocode, DomainEvent",B,Inferred from raw text output due to JSON parsing failure.,llama2
9,RegistrationCommand,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, DateUtils, Cargo",B,"it belongs to Service B as it is related to the GraphDAOStub and GraphTraversalServiceImpl classes, which are only found in Service B.",llama2
10,HandlingEventRepositoryInMem,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, HandlingEventRepository, DomainEntity",B,it belongs to Service B as it is a part of the HandlingEventRepository and not related to Customer Data,llama2
11,HandlingEventDTO,"TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, Cargo, CargoRepository","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,Inferred from raw text output due to JSON parsing failure.,llama2
12,HandlingReportServiceImpl,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","GraphDAO, BookingService, HandlingActivity, Itinerary, CannotCreateHandlingEventException",B,Inferred from raw text output due to JSON parsing failure.,llama2
13,HandlingReportService,"DateUtils, CargoFactory, UnknownCargoException, LocationRepository, UnLocode","GraphTraversalService, BookingServiceImpl, CargoInspectionServiceImpl, HandlingEventRepository, DomainEntity",B,Inferred from raw text output due to JSON parsing failure.,llama2
14,TrackCommandValidator,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","DateUtils, CargoFactory, UnknownCargoException, LocationRepository, UnLocode",B,it belongs to Service B as it deals with cargo-related functionality,llama2
15,RoutingStatus,"GraphDAO, BookingService, DDDSampleApplicationContext, CargoRepository, RoutingStatus","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,Inferred from raw text output due to JSON parsing failure.,llama2
16,CargoRepositoryHibernate,"DateUtils, CargoFactory, UnknownCargoException, LocationRepository, UnLocode","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,Inferred from raw text output due to JSON parsing failure.,llama2
17,AndSpecification,"TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, Delivery, HandlingActivity","GraphTraversalService, BookingServiceImpl, Itinerary, RouteSpecification, HandlingEventRepository",B,"it belongs to Service B as it is related to the handling of bookings and itineraries, which are part of Service B's responsibilities.",llama2
18,DomainEntity,"TransitEdge, GraphDAOStub, GraphTraversalServiceImpl, Delivery, HandlingActivity","GraphDAO, BookingService, DDDSampleApplicationContext, CargoRepository, CannotCreateHandlingEventException",B,it belongs to Service B as it is a part of the aggregate root for Cargo entities,llama2
19,DomainEvent,"GraphTraversalService, BookingServiceImpl, Itinerary, RouteSpecification, HandlingEventRepository","DateUtils, CargoFactory, UnknownCargoException, LocationRepository, UnLocode",B,Inferred from raw text output due to JSON parsing failure.,llama2
20,LocationRepositoryInMem,"GraphTraversalService, BookingServiceImpl, Itinerary, RouteSpecification, HandlingEventRepository","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,"it belongs to Service B as it is related to the Pathfinder Application Context and Cargo Inspection Service, which are only found in Service B.",llama2
21,ItineraryCandidateDTOAssembler,"GraphTraversalService, BookingServiceImpl, Itinerary, RouteSpecification, HandlingEventRepository","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,"it belongs to Service B as it is related to the Pathfinder Application Context and Cargo Inspection Service, which are only found in Service B.",llama2
22,LegDTO,"GraphDAO, BookingService, DDDSampleApplicationContext, CargoRepository, CannotCreateHandlingEventException","TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService",B,it belongs to Service B as it is related to cargo inspection and handling,llama2
23,LocationRepositoryJPA,"GraphTraversalService, BookingServiceImpl, Itinerary, RouteSpecification, HandlingEventRepository","GraphDAO, BookingService, DDDSampleApplicationContext, CargoRepository, CannotCreateHandlingEventException",B,Inferred from raw text output due to JSON parsing failure.,llama2
24,ExternalRoutingService,"TransitPath, PathfinderApplicationContext, Application, ApplicationEvents, CargoInspectionService","GraphTraversalService, BookingServiceImpl, Itinerary, RouteSpecification, HandlingEventRepository",B,Inferred from raw text output due to JSON parsing failure.,llama2
25,Specification,"GraphDAOStub, DateUtils, CargoFactory, UnknownCargoException, LocationRepository","GraphTraversalService, TransitEdge, BookingServiceImpl, CargoInspectionServiceImpl, Itinerary",B,Inferred from raw text output due to JSON parsing failure.,llama2
26,HandlingEventRegistrationAttemptConsumer,"PathfinderApplicationContext, GraphDAO, GraphTraversalServiceImpl, Application, ApplicationEvents","BookingService, DDDSampleApplicationContext, CargoRepository, CannotCreateHandlingEventException, DomainEntity",B,it belongs to Service B as it is a part of the Cargo domain and handles events related to cargo tracking,llama2
